instance_family,instance_type,clock_speed_in_ghz,vcpu_count
d3,d3.4xlarge,3.1,16
d3,d3.8xlarge,3.1,32
d3,d3.xlarge,3.1,4
g2,g2.2xlarge,2.6,8
g2,g2.8xlarge,2.6,32
g3,g3.16xlarge,2.3,64
g3,g3.4xlarge,2.7,16
g3,g3.8xlarge,2.7,32
g3s,g3s.xlarge,2.7,4
g4ad,g4ad.16xlarge,3.0,64
g4ad,g4ad.4xlarge,3.0,16
g4ad,g4ad.8xlarge,3.0,32
g4dn,g4dn.12xlarge,2.5,48
g4dn,g4dn.16xlarge,2.5,64
g4dn,g4dn.2xlarge,2.5,8
g4dn,g4dn.4xlarge,2.5,16
g4dn,g4dn.8xlarge,2.5,32
g4dn,g4dn.metal,2.5,96
g4dn,g4dn.xlarge,2.5,4
i2,i2.2xlarge,2.5,8
i2,i2.4xlarge,2.5,16
i2,i2.8xlarge,2.5,32
i2,i2.xlarge,2.5,4
i3,i3.16xlarge,2.3,64
i3,i3.2xlarge,2.3,8
i3,i3.4xlarge,2.3,16
i3,i3.8xlarge,2.3,32
i3,i3.large,2.3,2
i3,i3.metal,2.3,72
i3,i3.xlarge,2.3,4
i3en,i3en.12xlarge,3.1,48
i3en,i3en.24xlarge,3.1,96
i3en,i3en.2xlarge,3.1,8
i3en,i3en.3xlarge,3.1,12
i3en,i3en.6xlarge,3.1,24
i3en,i3en.large,3.1,2
i3en,i3en.metal,3.1,96
i3en,i3en.xlarge,3.1,4
inf1,inf1.24xlarge,2.5,96
inf1,inf1.2xlarge,2.5,8
inf1,inf1.6xlarge,2.5,24
inf1,inf1.xlarge,2.5,4
m3,m3.2xlarge,2.5,8
m3,m3.large,2.5,2
m3,m3.medium,2.5,1
m3,m3.xlarge,2.5,4
m4,m4.10xlarge,2.4,40
m4,m4.16xlarge,2.3,64
m4,m4.2xlarge,2.4,8
m4,m4.4xlarge,2.4,16
m4,m4.large,2.4,2
m4,m4.xlarge,2.4,4
m5,m5.12xlarge,3.1,48
m5,m5.16xlarge,3.1,64
m5,m5.24xlarge,3.1,96
m5,m5.2xlarge,3.1,8
m5,m5.4xlarge,3.1,16
m5,m5.8xlarge,3.1,32
m5,m5.large,3.1,2
m5,m5.metal,3.1,96
m5,m5.xlarge,3.1,4
m5a,m5a.12xlarge,2.5,48
m5a,m5a.16xlarge,2.5,64
m5a,m5a.24xlarge,2.5,96
m5a,m5a.2xlarge,2.5,8
m5a,m5a.4xlarge,2.5,16
m5a,m5a.8xlarge,2.5,32
m5a,m5a.large,2.5,2
m5a,m5a.xlarge,2.5,4
m5ad,m5ad.12xlarge,2.2,48
m5ad,m5ad.16xlarge,2.5,64
m5ad,m5ad.24xlarge,2.2,96
m5ad,m5ad.2xlarge,2.2,8
m5ad,m5ad.4xlarge,2.2,16
m5ad,m5ad.8xlarge,2.5,32
m5ad,m5ad.large,2.2,2
m5ad,m5ad.xlarge,2.2,4
m5d,m5d.12xlarge,3.1,48
m5d,m5d.16xlarge,3.1,64
m5d,m5d.24xlarge,3.1,96
m5d,m5d.2xlarge,3.1,8
m5d,m5d.4xlarge,3.1,16
m5d,m5d.8xlarge,3.1,32
m5d,m5d.large,3.1,2
m5d,m5d.metal,3.1,96
m5d,m5d.xlarge,3.1,4
m5dn,m5dn.12xlarge,3.1,48
m5dn,m5dn.16xlarge,3.1,64
m5dn,m5dn.24xlarge,3.1,96
m5dn,m5dn.2xlarge,3.1,8
m5dn,m5dn.4xlarge,3.1,16
m5dn,m5dn.8xlarge,3.1,32
m5dn,m5dn.large,3.1,2
m5dn,m5dn.metal,3.1,96
m5dn,m5dn.xlarge,3.1,4
m5n,m5n.12xlarge,3.1,48
m5n,m5n.16xlarge,3.1,64
m5n,m5n.24xlarge,3.1,96
m5n,m5n.2xlarge,3.1,8
m5n,m5n.4xlarge,3.1,16
m5n,m5n.8xlarge,3.1,32
m5n,m5n.large,3.1,2
m5n,m5n.metal,3.1,96
m5n,m5n.xlarge,3.1,4
m5zn,m5zn.12xlarge,4.5,48
m5zn,m5zn.2xlarge,4.5,8
m5zn,m5zn.3xlarge,4.5,12
m5zn,m5zn.6xlarge,4.5,24
m5zn,m5zn.large,4.5,2
m5zn,m5zn.metal,4.5,48
m5zn,m5zn.xlarge,4.5,4
m6g,m6g.12xlarge,2.5,48
m6g,m6g.16xlarge,2.5,64
m6g,m6g.2xlarge,2.5,8
m6g,m6g.4xlarge,2.5,16
m6g,m6g.8xlarge,2.5,32
m6g,m6g.large,2.5,2
m6g,m6g.medium,2.5,1
m6g,m6g.metal,2.5,64
m6g,m6g.xlarge,2.5,4
m6gd,m6gd.12xlarge,2.5,48
m6gd,m6gd.16xlarge,2.5,64
m6gd,m6gd.2xlarge,2.5,8
m6gd,m6gd.4xlarge,2.5,16
m6gd,m6gd.8xlarge,2.5,32
m6gd,m6gd.large,2.5,2
m6gd,m6gd.medium,2.5,1
m6gd,m6gd.metal,2.5,64
m6gd,m6gd.xlarge,2.5,4
p2,p2.16xlarge,2.3,64
